Date,Strategy Portfolio,Buy & Hold Portfolio,NIFTY Bank
2024-01-01,,1000000.0,1000000.0
2024-01-02,1000000.0,990662.6035133384,990200.9081484657
2024-01-03,998908.4237260361,990248.1869265115,989025.412332591
2024-01-04,999906.4348390101,997042.0023411189,999202.865634471
2024-01-05,999275.3523000557,997877.1678904204,998438.854092827
2024-01-08,992529.9463573894,983689.1917835821,983744.9539321449
2024-01-09,990751.793314796,980279.3864509119,979440.9304646646
2024-01-10,988509.7957289328,980091.7972857223,981891.5335227678
2024-01-11,990236.3446277842,982040.6599488303,983498.2739283451
2024-01-12,992022.5409591317,987877.7358649718,989125.9955777386
2024-01-15,993596.4026759986,996654.2637394991,998424.357795821
2024-01-16,992894.0849807233,995804.6522446864,997736.0671351859
2024-01-17,984273.4006589645,956393.7566599492,955014.3460700174
2024-01-18,983239.8100520354,954501.6118844837,947739.4725502088
2024-01-19,983142.8586180332,957190.3468284917,947482.3454943768
2024-01-23,973772.51290864,948142.9647921101,933258.0767657482
2024-01-24,969720.7055912014,944593.6064206624,934654.3374175908
2024-01-25,970813.2887479229,937345.5243833648,930171.0133826736
2024-01-29,971551.0436692479,953314.3529228416,942116.9339343817
2024-01-30,971302.7118015732,952151.013316936,940570.2843242147
2024-01-31,974893.5163818577,963499.5234221333,953611.8495809153
2024-02-01,975540.2323233072,968320.782460986,957589.2609488142
2024-02-02,975741.3457218851,963222.3397336754,953075.891516192
2024-02-05,973705.9270189332,958339.1332066649,950061.4715879463
2024-02-06,973882.5382617209,956784.8175238019,947267.8164956684
2024-02-07,977746.799992832,966121.3177821363,949915.2938443944
2024-02-08,973973.7496769237,951318.5769769704,933194.8275592584
2024-02-09,979999.1121603453,967840.0232581809,946101.6339432333
2024-02-12,975255.0806544968,953603.1182334409,930504.8331383083
2024-02-13,978949.2457422076,967874.028145996,943361.8338091061
2024-02-14,984587.5033381651,982560.7265648154,951777.0556984174
2024-02-15,984662.4056815743,985082.6984038274,958216.408010346
2024-02-16,983866.4502900974,983861.9704849236,961656.9704796274
2024-02-19,986495.2345336163,987593.4449703188,964780.2341127672
2024-02-20,989527.0226503515,1001171.8875199778,976363.2613299291
2024-02-21,991516.7570165258,1001063.1985711273,974818.7173271484
2024-02-22,993257.658675719,999965.8683355545,972747.6095079836
2024-02-23,991514.722576916,996847.6543020166,970507.486203615
2024-02-26,989631.6762509283,991612.5049470733,965630.2516176532
2024-02-27,988160.7889431491,988664.4434550629,965869.7239653997
2024-02-28,984820.5354692922,978995.7594839159,952914.1646719411
2024-02-29,986580.0528262951,982012.9454445173,956184.6588523258
2024-03-01,996452.955752058,1007149.7945686155,980358.3274059135
2024-03-04,998265.3691811869,1010688.5439939785,983866.2693115579
2024-03-05,999346.3138702996,1012210.0773137278,986455.6804873607
2024-03-06,1003916.3654865087,1023235.5022082621,994425.080505064
2024-03-07,1002410.6477607179,1019416.2600733696,991738.2444951932
2024-03-11,998268.7772688514,1007850.3639288635,981207.3730920058
2024-03-12,994853.4811759023,1004403.7725960138,980265.0328017187
2024-03-13,991586.8964946638,999981.5660978069,974022.6357653126
2024-03-14,990270.8644291663,994705.5272554227,970055.5094796469
2024-03-15,989909.7997617484,988283.4505588169,965995.1695746859
2024-03-18,990004.229347056,990061.9133043187,965617.779943134
2024-03-19,990309.7456041018,988079.9548885756,961655.9176759343
2024-03-20,990370.8542801605,988642.7691461794,960123.7643627732
2024-03-21,990070.8982888013,993206.110894415,967877.5825780749
2024-03-22,991206.991851193,995340.1821361101,971585.5571854216
2024-03-26,989002.2553099281,988833.2969476981,966121.5870027659
2024-03-27,990427.4426000941,993075.6367179129,969972.5809425849
2024-03-28,992130.1747111137,1001783.08573519,976993.5668025404
2024-04-01,992820.8183810794,1009190.8329155016,986398.6671181305
2024-04-02,990836.4051255267,1004597.6587694053,985718.6369172418
2024-04-03,989584.0109159693,1005674.8507753306,987352.3452943441
2024-04-04,991122.0819341091,1009507.2485278657,996402.9747049336
2024-04-05,994232.8163158649,1017772.4555830606,1005364.4397412013
2024-04-08,994398.1396875681,1022711.2375644192,1007202.3110498793
2024-04-09,995638.8645183635,1025547.3248193875,1010288.3216292607
2024-04-10,1000077.1101643792,1035383.5143449645,1015596.8008049252
2024-04-12,995337.6714838197,1024391.6021675785,1006846.7873411855
2024-04-15,987432.808251036,1009193.1428091351,990441.4332999054
2024-04-16,983079.6193564774,1005153.0949791694,984461.2653679983
2024-04-18,976415.6419357834,993270.0879303735,975850.1410068577
2024-04-19,978549.4757873268,1003251.4259254647,986313.6329736821
2024-04-22,979859.7313912265,1016104.4597639199,993585.4290673108
2024-04-23,979532.4892915287,1019087.5436017027,994529.7939800847
2024-04-24,982446.7277617931,1025385.4607662747,999060.8181207924
2024-04-25,984659.6938767902,1031651.3745913482,1005403.7984023461
2024-04-26,981885.7730176332,1023858.505054894,999310.6565356718
2024-04-29,996029.260159592,1053109.8854208093,1024666.0567423938
2024-04-30,995492.0302755887,1049461.991860005,1024100.0532799653
2024-05-02,993955.6103199301,1041902.5223575358,1020664.7548291498
2024-05-03,992672.0898158087,1036815.4110990812,1014289.6235425047
2024-05-06,989741.4837198112,1039171.0753922304,1013703.9407495039
2024-05-07,984396.2498810206,1031653.3224568834,1001058.3916512344
2024-05-08,982714.8985051197,1030519.1202389372,995579.9251715726
2024-05-09,982133.8264796432,1024806.3083713986,984525.4863932816
2024-05-10,982310.3621763671,1022405.4843381552,983140.6446122649
2024-05-13,983255.0154673349,1027530.2231027473,990044.4453226806
2024-05-14,983092.4424173149,1028509.1484057768,992228.5270766128
2024-05-15,984345.2739277312,1028699.1848216156,988662.5999829445
2024-05-16,984798.562828363,1034273.6777433454,994666.6584601968
2024-05-17,985893.1062478996,1039396.9837479752,997540.0836784573
2024-05-21,986577.8145199826,1040357.1643630073,996141.7174192283
2024-05-22,981359.8161272996,1032735.7233502703,990621.7866710355
2024-05-23,987296.6944996143,1053661.9559694908,1011077.1955350433
2024-05-24,989631.0917761595,1055965.1418987156,1015286.790609736
2024-05-27,992303.4529414092,1061521.508356718,1021716.9106431245
2024-05-28,991462.317570816,1059059.8495351167,1018821.6195020061
2024-05-29,983436.1346173007,1042837.3202465224,1005536.5326525852
2024-05-30,986492.1111226216,1048677.7585219208,1009289.0489546428
2024-05-31,988750.2490881986,1051445.9613151036,1015541.8120581819
2024-06-03,1014200.1897955658,1102705.0157558166,1056923.1520521452
2024-06-04,992236.4456106205,1008544.4492142322,972930.0684865
2024-06-05,995988.55705491,1046710.2524486505,1017006.58593498
2024-06-06,994210.2668843812,1055743.2052295648,1021926.2566082665
2024-06-07,997523.5594086006,1068544.460863725,1032526.6130552031
2024-06-10,997484.6822071506,1069684.128705155,1032064.2702641023
2024-06-11,995947.5765969774,1066474.1283382874,1030506.2827680088
